Íîìåğ ïàêåòà	Âğåìÿ	Øèğîòà	Äîëãîòà	Âûñîòà	fix GPS
558	61495	nan	nan	nan	0
561	61819	nan	nan	nan	0
562	61927	nan	nan	nan	0
563	62035	nan	nan	nan	0
564	62143	nan	nan	nan	0
565	62251	nan	nan	nan	0
566	62359	nan	nan	nan	0
567	62467	nan	nan	nan	0
568	62575	nan	nan	nan	0
569	62683	nan	nan	nan	0
570	62791	nan	nan	nan	0
571	62899	nan	nan	nan	0
572	63007	nan	nan	nan	0
573	63115	nan	nan	nan	0
574	63223	nan	nan	nan	0
575	63331	nan	nan	nan	0
576	63439	nan	nan	nan	0
577	63547	nan	nan	nan	0
578	63655	nan	nan	nan	0
579	63763	nan	nan	nan	0
580	63871	nan	nan	nan	0
581	63979	nan	nan	nan	0
582	64087	nan	nan	nan	0
583	64195	nan	nan	nan	0
584	64303	nan	nan	nan	0
585	64411	nan	nan	nan	0
586	64519	nan	nan	nan	0
587	64627	nan	nan	nan	0
588	64735	nan	nan	nan	0
589	64843	nan	nan	nan	0
590	64951	nan	nan	nan	0
591	65059	nan	nan	nan	0
593	65275	nan	nan	nan	0
594	65383	nan	nan	nan	0
595	65491	nan	nan	nan	0
596	65599	nan	nan	nan	0
597	65707	nan	nan	nan	0
599	65923	nan	nan	nan	0
600	66031	nan	nan	nan	0
601	66139	nan	nan	nan	0
602	66247	nan	nan	nan	0
603	66355	nan	nan	nan	0
604	66463	nan	nan	nan	0
606	66679	nan	nan	nan	0
609	67003	nan	nan	nan	0
610	67111	nan	nan	nan	0
611	67219	nan	nan	nan	0
612	67327	nan	nan	nan	0
613	67435	nan	nan	nan	0
614	67543	nan	nan	nan	0
615	67651	nan	nan	nan	0
616	67759	nan	nan	nan	0
617	67867	nan	nan	nan	0
618	67975	nan	nan	nan	0
619	68083	nan	nan	nan	0
620	68191	nan	nan	nan	0
621	68299	nan	nan	nan	0
622	68407	nan	nan	nan	0
623	68515	nan	nan	nan	0
625	68731	nan	nan	nan	0
626	68839	nan	nan	nan	0
627	68947	nan	nan	nan	0
628	69055	nan	nan	nan	0
629	69163	nan	nan	nan	0
632	69487	nan	nan	nan	0
633	69595	nan	nan	nan	0
635	69811	nan	nan	nan	0
636	69919	nan	nan	nan	0
637	70027	nan	nan	nan	0
638	70135	nan	nan	nan	0
640	70351	nan	nan	nan	0
641	70459	nan	nan	nan	0
643	70675	nan	nan	nan	0
644	70783	nan	nan	nan	0
645	70891	nan	nan	nan	0
646	70999	nan	nan	nan	0
